,0,1,2
308,-4.9199999999997885,0.9997035710231945,0.001374168491446564
309,-4.909999999999789,0.9996893140532115,0.0014256973844333901
310,-4.899999999999789,0.9996745256254963,0.0014788431720406069
311,-4.889999999999789,0.9996591891496709,0.001533647997908945
312,-4.879999999999789,0.9996432876055766,0.0015901548400847026
313,-4.86999999999979,0.9996268035348448,0.0016484075196285654
314,-4.85999999999979,0.9996097190325115,0.0017084506960287661
315,-4.84999999999979,0.9995920157384228,0.0017703298883354958
316,-4.83999999999979,0.9995736748285977,0.001834091479237113
317,-4.8299999999997905,0.9995546770065621,0.001899782718078801
318,-4.819999999999791,0.9995350024945685,0.0019674517322133254
319,-4.809999999999791,0.999514631024799,0.002037147528664634
320,-4.799999999999791,0.9994935418304502,0.00210892000603175
321,-4.789999999999791,0.999471713636825,0.002182819953700627
322,-4.7799999999997915,0.9994491246523138,0.002258899062897743
323,-4.769999999999792,0.9994257525592976,0.002337209934620516
324,-4.759999999999792,0.9994015745050571,0.0024178060788638146
325,-4.749999999999792,0.9993765670927119,0.0025007419117835175
326,-4.739999999999792,0.9993507063719221,0.002586072779376839
327,-4.729999999999793,0.999323967829658,0.002673854950570499
328,-4.719999999999793,0.9992963263809607,0.0027641456183516325
329,-4.709999999999793,0.9992677563595913,0.002857002910700072
330,-4.699999999999793,0.9992382315087379,0.002952485884959372
331,-4.6899999999997934,0.9992077249716123,0.003050654538776644
332,-4.679999999999794,0.9991762092821007,0.0031515698047027323
333,-4.669999999999794,0.9991436563553362,0.003255293558084081
334,-4.659999999999794,0.9991100374783308,0.0033618886110556583
335,-4.649999999999794,0.9990753233005184,0.003471418721408693
336,-4.6399999999997945,0.9990394838242802,0.0035839485944609063
337,-4.629999999999795,0.9990024883955457,0.0036995438754001886
338,-4.619999999999795,0.9989643056944975,0.0038182711389382834
339,-4.609999999999795,0.998924903726128,0.003940197904085652
340,-4.599999999999795,0.9988842498106592,0.004065392647916788
341,-4.589999999999796,0.998842310574373,0.004193924764462286
342,-4.579999999999796,0.9987990519402378,0.004325864585105027
343,-4.569999999999796,0.9987544391184843,0.004461283383608305
344,-4.559999999999796,0.998708436597495,0.0046002533448311084
345,-4.549999999999796,0.9986610081344609,0.004742847587922932
346,-4.539999999999797,0.9986121167462183,0.00488914014839288
347,-4.529999999999797,0.9985617247002174,0.005039205964859923
348,-4.519999999999797,0.9985097935053024,0.0051931208979522124
349,-4.509999999999797,0.998456283902839,0.005350961695554316
350,-4.4999999999997975,0.998401155857812,0.005512805995745056
351,-4.489999999999798,0.9983443685498288,0.005678732336296995
352,-4.479999999999798,0.9982858803644376,0.005848820123179412
353,-4.469999999999798,0.9982256488844299,0.006023149632021832
354,-4.459999999999798,0.9981636308813457,0.006201801988049823
355,-4.449999999999799,0.9980997823071232,0.006384859151479399
356,-4.439999999999799,0.9980340582855337,0.006572403938957176
357,-4.429999999999799,0.9979664131038593,0.006764519999488043
358,-4.419999999999799,0.9978968002050483,0.006961291766427024
359,-4.409999999999799,0.9978251721797075,0.00716280447400268
360,-4.3999999999998,0.9977514807580175,0.007369144164799538
361,-4.3899999999998,0.9976756768022712,0.007580397627636806
362,-4.3799999999998,0.9975977102994106,0.007796652397638881
363,-4.3699999999998,0.9975175303533742,0.008017996775165149
364,-4.3599999999998005,0.9974350851780405,0.008244519766246733
365,-4.349999999999801,0.9973503220903667,0.008476311063030251
366,-4.339999999999801,0.997263187503339,0.00871346106263947
367,-4.329999999999801,0.9971736269192502,0.008956060834479383
368,-4.319999999999801,0.9970815849233515,0.009204202082645673
369,-4.3099999999998015,0.9969870051775952,0.00945797713716558
370,-4.299999999999802,0.996889830414503,0.009717478941022772
371,-4.289999999999802,0.9967900024316415,0.009982800989797713
372,-4.279999999999802,0.9966874620860342,0.010254037337844354
373,-4.269999999999802,0.9965821492884537,0.01053128261026574
374,-4.259999999999803,0.9964740029982193,0.01081463195238988
375,-4.249999999999803,0.9963629612187117,0.011104180958124892
376,-4.239999999999803,0.9962489609929117,0.01140002566748404
377,-4.229999999999803,0.99613193839872,0.011702262588520676
378,-4.2199999999998035,0.9960118285447735,0.012010988647602146
379,-4.209999999999804,0.9958885655669935,0.01232630111636674
380,-4.199999999999804,0.9957620826252518,0.01264829759971926
381,-4.189999999999804,0.9956323118998764,0.012977076052133468
382,-4.179999999999804,0.9954991845885879,0.013312734734370222
383,-4.1699999999998045,0.9953626309042843,0.013655372128664823
384,-4.159999999999805,0.9952225800730002,0.01400508692143026
